Pixel #,Angle,Signal,Noise_Ref
1,73.387231522,3.458458732199129,3.7516967670338426
2,73.321226088,3.8914002760040063,4.26143395263279
3,73.255283698,3.565916147006176,3.940997163807392
4,73.189404352,2.930823468652599,3.19073780083471
5,73.12358805,3.8367801697897206,4.1698902266652595
6,73.057834792,4.027057956520782,4.444245754163174
7,72.992144578,3.681087852810437,4.0040390778239985
8,72.926517408,3.2992038077514265,3.545876913515785
9,72.860953282,3.93281732868284,4.270409286750204
10,72.7954522,3.754064320266645,4.129052508416941
11,72.730014162,2.707635184967579,2.9430279458028212
12,72.664639168,2.965903115230993,3.2358701883672696
13,72.599327218,3.552900476784421,4.024881308650185
14,72.534078312,2.9419919505268837,3.2241830659776975
15,72.46889245,3.415156646757127,3.712728046086657
16,72.40376963199999,3.2783071574334604,3.5160417258782335
17,72.338709858,2.4831804244997477,2.740347890389213
18,72.273713128,2.6179032252701266,2.9686809636512033
19,72.208779442,3.3816152076472834,3.7393985351876293
20,72.1439088,2.5329600111280124,2.8424981351102954
21,72.079101202,4.013061057388023,4.501070890761318
22,72.014356648,4.013984138877026,4.401239945960688
23,71.949675138,4.012090393743247,4.347685752301335
24,71.885056672,2.8657185236600817,3.24324791051328
25,71.82050124999999,3.1549114495039845,3.5681307548478873
26,71.756008872,2.605449998982719,2.971912807580042
27,71.691579538,3.0950054095991715,3.453529233463367
28,71.627213248,3.5848385550283766,3.9605425332913
29,71.562910002,3.412782085050349,3.7793955474509833
30,71.4986698,2.7918402228981822,3.1445534765569834
31,71.434492642,2.263551317204418,2.627345768622974
32,71.370378528,3.966226604437253,4.513144139319531
33,71.306327458,2.4125606947696037,2.724456337127855
34,71.242339432,2.5709504179384437,2.969303456815231
35,71.17841444999999,2.7049182971625343,3.028042544963669
36,71.114552512,3.1845629152570734,3.792622152693143
37,71.050753618,3.520531869208504,4.068555345768825
38,70.987017768,3.1609586517506614,3.584769803914445
39,70.923344962,2.408495189039324,2.773549753429958
40,70.8597352,2.3996272637154745,2.743276969598966
41,70.796188482,3.281519742376771,3.7006630615873366
42,70.732704808,3.535297085530932,4.120683823078357
43,70.669284178,3.282032159015084,3.916937369078118
44,70.605926592,2.7343777355824,3.2551979566934692
45,70.54263205,3.404612863013438,3.930807822086779
46,70.479400552,2.625312628505757,3.086438921406606
47,70.416232098,3.1761172659634718,3.7181752167101347
48,70.353126688,3.5582050046733187,4.22554753937708
49,70.290084322,3.037633189462089,3.649373063682015
50,70.227105,3.409412504988109,4.133258188468752
51,70.164188722,3.1406461910726144,3.8699264689370665
52,70.101335488,2.4668725248044376,3.0011809201321773
53,70.038545298,2.5232764710931836,3.1806978179355183
54,69.975818152,2.498616617792309,3.1587855364494044
55,69.91315405,3.1974724480796315,3.9661846596132317
56,69.850552992,2.7028247158659355,3.4839824909928
57,69.78801497799999,3.383978568178191,4.3534487417877745
58,69.725540008,3.044895913561429,4.016606789378494
59,69.663128082,2.93364483045673,3.8234920326779758
60,69.6007792,3.0561448526453177,4.053567401433063
61,69.538493362,3.1142717598629264,4.238693889802266
62,69.476270568,2.9430699554560227,3.950734948321501
63,69.414110818,2.754706795453175,3.6885237598112925
64,69.35201411199999,2.797549539346075,3.959967363075754
65,69.28998045,2.23564308792942,3.161493958734453
66,69.228009832,2.8644271675459145,4.131896082413534
67,69.166102258,3.0843693604994225,4.469550584296629
68,69.104257728,2.639078243731285,3.8665125680191403
69,69.04247624199999,2.2478490911042743,3.393819800997136
70,68.98075779999999,2.788193110119221,4.195980744756116
71,68.919102402,2.370762246022985,3.6887907285793737
72,68.857510048,2.5496674473728262,4.1840714558969445
73,68.795980738,1.8335063567209733,2.984427281658468
74,68.734514472,1.937663616222516,3.342624794220704
75,68.67311125,1.9868563615455612,3.318265141956739
76,68.611771072,1.6218006505064886,2.890937113643007
77,68.550493938,2.261963669067313,4.07481598614409
78,68.489279848,2.429230307855569,4.313271311104733
79,68.428128802,1.4976389243812032,2.8115100411225793
80,68.3670408,2.347999371825241,4.3227946407612166
81,68.306015842,1.5310391948631967,2.93539121815077
82,68.245053928,2.2028737510886476,4.261125219534501
83,68.184155058,2.0933116402901724,4.149043899284173
84,68.123319232,1.8713580322086965,3.7820455667036565
85,68.06254645,1.859201484924809,3.686563368527242
86,68.001836712,2.1179844893087894,4.355527303944549
87,67.941190018,1.8856648441931614,3.888432643801747
88,67.880606368,1.2038368089293756,2.82458594675948
89,67.820085762,1.6284000588414171,3.4947864647553737
90,67.7596282,1.8828204044182282,4.066539170514154
91,67.699233682,1.3329789890169206,2.8851353945348652
92,67.63890220799999,1.7491407086573143,4.006131872503867
93,67.578633778,1.5665332715520175,3.5522455375582243
94,67.518428392,1.2974797858700502,2.803824435612431
95,67.45828605,1.4448493512303147,3.222007499997583
96,67.398206752,1.4783965750397987,3.331876014832266
