Pixel #,Angle,Signal,Noise_Ref
1,73.387231522,4.217196317899977,4.246703905755668
2,73.321226088,3.6030076403921676,3.5328254590192363
3,73.255283698,3.7693859923036976,3.7547790017312415
4,73.189404352,4.223348998739975,4.340231136036481
5,73.12358805,3.162046249801452,3.201935424302988
6,73.057834792,3.5809055231672073,3.600743004931214
7,72.992144578,4.220118032668682,4.2346027831181
8,72.926517408,3.692269677963106,3.695402079462538
9,72.860953282,3.7684959348388047,3.8551726015130208
10,72.7954522,3.9825636499604653,4.025475118071137
11,72.730014162,3.182035082662112,3.1578766791717507
12,72.664639168,3.982136625409777,4.01616170833554
13,72.599327218,3.7812379681729134,3.8423582728716816
14,72.534078312,3.2059160850649713,3.1069740214456285
15,72.46889245,3.1409251674787573,3.1977701575265205
16,72.40376963199999,3.1767228730703057,3.2067810108776165
17,72.338709858,3.825187408320099,3.8259402665609006
18,72.273713128,2.812338230903791,2.761663817317773
19,72.208779442,3.5552307884251926,3.6396989968908224
20,72.1439088,4.1295831208684985,4.160403600452718
21,72.079101202,2.7135482026550335,2.7226888374618308
22,72.014356648,3.6213442006677306,3.57176887318588
23,71.949675138,3.067954795134799,3.002902853218833
24,71.885056672,3.281925409509991,3.1888042627813844
25,71.82050124999999,3.9219824709700193,3.9174073361356143
26,71.756008872,3.3627477949771047,3.38223045545553
27,71.691579538,3.4356020346324523,3.4231625832770205
28,71.627213248,3.3481226004006057,3.3122376410388688
29,71.562910002,3.9265732771514896,3.8849596122154346
30,71.4986698,2.6615863740100645,2.633291367252391
31,71.434492642,2.6795138936115324,2.6871304032324392
32,71.370378528,4.099198410106622,4.041025005226772
33,71.306327458,3.7866198741851487,3.7863211297427095
34,71.242339432,3.009143017265377,2.967735621610081
35,71.17841444999999,3.6328308222937147,3.6049287160954537
36,71.114552512,4.506372076550347,4.4567239591372365
37,71.050753618,3.5103030746095576,3.474565246169582
38,70.987017768,3.06929128750875,3.121461246627513
39,70.923344962,3.786292643421385,3.777732055078115
40,70.8597352,2.801402006471625,2.807525158030533
41,70.796188482,4.456641779580901,4.418626543787
42,70.732704808,2.806496051594866,2.774653816887688
43,70.669284178,3.875693295789833,3.8311665349317083
44,70.605926592,4.200834374810469,4.254765084524999
45,70.54263205,2.9378080111918052,2.945066599257065
46,70.479400552,4.201858680572365,4.074956379225828
47,70.416232098,2.8408940795512216,2.851753971874203
48,70.353126688,2.750121712234497,2.7432519297929603
49,70.290084322,4.0107331825628325,3.971914068040914
50,70.227105,3.4729098814061317,3.528234145283548
51,70.164188722,3.80660006231348,3.8238436707843295
52,70.101335488,3.9538363253920283,3.993408570366536
53,70.038545298,3.298136264558854,3.3381672775903484
54,69.975818152,2.7633390649435317,2.734822275353325
55,69.91315405,3.566017899907886,3.5882544798229974
56,69.850552992,2.823306018316934,2.743731135087575
57,69.78801497799999,2.6885346180990073,2.7044068934918766
58,69.725540008,3.361188783595502,3.333250631666534
59,69.663128082,4.059922596382834,4.034042363862681
60,69.6007792,3.891827588620616,3.9038516749404035
61,69.538493362,2.7811916504843754,2.8587450418885396
62,69.476270568,4.031510384446553,4.11080107895502
63,69.414110818,3.5108370292748563,3.5529475854489077
64,69.35201411199999,4.435292994640449,4.494850304575078
65,69.28998045,3.508354830825521,3.540671780619273
66,69.228009832,3.208064952804171,3.2505472249991594
67,69.166102258,3.4901752518749896,3.4880833362642454
68,69.104257728,2.8545332696414754,2.9435800872812927
69,69.04247624199999,4.37972004685157,4.38136094873575
70,68.98075779999999,4.035375234088067,4.089463889306047
71,68.919102402,3.5357514496329063,3.4348736288428596
72,68.857510048,3.175978105564565,3.1090270500056487
73,68.795980738,2.7495786051009894,2.7947752194018793
74,68.734514472,3.0847166375638793,2.9555892000217048
75,68.67311125,3.51461137593686,3.482443754091294
76,68.611771072,4.394483801004211,4.435550740547881
77,68.550493938,4.175376736522891,4.1406630020327215
78,68.489279848,3.6706364257991346,3.765461742877679
79,68.428128802,3.8312524627466056,3.7959321649264472
80,68.3670408,4.165384517649968,4.129944962159045
81,68.306015842,4.498137255312286,4.4212085652884
82,68.245053928,2.708370655204783,2.7313885919680376
83,68.184155058,3.5714841609103822,3.5804238214739232
84,68.123319232,3.240175298846609,3.224667375842578
85,68.06254645,3.905454563334437,3.967378549437693
86,68.001836712,4.294060678691464,4.248408564551515
87,67.941190018,4.342276499830722,4.453155225501449
88,67.880606368,3.8748278853232634,3.835253287138932
89,67.820085762,3.916278076029572,3.965602000446124
90,67.7596282,4.050748177609308,4.085929314367822
91,67.699233682,3.1257239942610004,3.160214211764675
92,67.63890220799999,2.705482049351443,2.624439033417298
93,67.578633778,2.6367231529944455,2.6744138058232343
94,67.518428392,2.750390531744665,2.739568710569216
95,67.45828605,3.6032886240346245,3.5738548100329552
96,67.398206752,3.9801228620403313,4.0251736077036995
97,67.338190498,4.346544286492122,4.378511875064814
98,67.278237288,4.510466358584788,4.516778070432453
99,67.218347122,3.4074195863449384,3.5172404676848648
100,67.15852,3.9956484255471945,4.068961610659753
101,67.098755922,3.3115684209512595,3.375119118376672
102,67.039054888,2.6045164433839725,2.6257317800988287
103,66.979416898,3.2153414927917114,3.1354580400352607
104,66.919841952,3.5688119772143807,3.6866139047631394
105,66.86033005,4.094104401758786,4.138932946773579
106,66.80088119199999,4.404081683375756,4.462851437045013
107,66.741495378,4.1446075017033746,4.159889189643734
108,66.682172608,4.074122409212316,4.147378401484797
109,66.622912882,4.376985875825728,4.25919793394169
110,66.5637162,4.3012023901079335,4.243810060096953
111,66.504582562,3.037917111805972,3.013929734618599
112,66.445511968,4.033905544022593,4.053275759484494
113,66.386504418,4.361359965653093,4.3881545584122845
114,66.327559912,3.863295766947615,3.867459916254748
115,66.26867845,3.934148902404868,4.003220098624981
116,66.209860032,3.1475347849460142,3.125093303048729
117,66.151104658,3.980217839680243,3.9896954252503773
118,66.092412328,2.724687629268098,2.830115055214362
119,66.033783042,2.8880345852089833,2.771117958397614
120,65.9752168,3.0081397958974265,3.0274802201754363
121,65.916713602,4.504281295149989,4.4681019136166595
122,65.85827344799999,3.3175544783068784,3.2871851002534824
123,65.799896338,4.505622108228142,4.419473871172576
124,65.741582272,4.385461755081131,4.376859006833898
125,65.68333125,2.596639671435265,2.6574227236440753
126,65.625143272,2.802649680512998,2.7988222602775106
127,65.567018338,4.117778378663684,4.119830252667922
128,65.50895644799999,4.111065924926054,4.025105863662128
